PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR009004,Taungdwingyi,MMR009,#42A5F5,#1565C0,1.5,Taungdwingyi,Development Zone,#333333,
MMR008011,Zigon,MMR008,,,1.5,Zigon,,#333333,
MMR004001,Falam,MMR004,#BDBDBD,#616161,1.5,Falam,Highland,#333333,
MMR004004,Tedim,MMR004,#BDBDBD,#616161,1.5,Tedim,Highland,#333333,
MMR010001,Aungmyaythazan,MMR010,#42A5F5,#1565C0,1.5,Aungmyaythazan,Development Zone,#333333,
MMR004005,Tonzang,MMR004,#BDBDBD,#616161,1.5,Tonzang,Highland,#333333,
MMR001006,Tsawlaw,MMR001,#26C6DA,#00838F,1.5,Tsawlaw,Border Area,#333333,
MMR001002,Waingmaw,MMR001,#26C6DA,#00838F,1.5,Waingmaw,Border Area,#333333,
MMR001018,Khaunglanhpu,MMR001,#26C6DA,#00838F,1.5,Khaunglanhpu,Border Area,#333333,
MMR002005,Bawlake,MMR002,#BDBDBD,#616161,1.5,Bawlake,Highland,#333333,
MMR002006,Hpasawng,MMR002,#BDBDBD,#616161,1.5,Hpasawng,Highland,#333333,
MMR002007,Mese,MMR002,#BDBDBD,#616161,1.5,Mese,Highland,#333333,
MMR010002,Chanayethazan,MMR010,#42A5F5,#1565C0,1.5,Chanayethazan,Development Zone,#333333,
MMR002002,Demoso,MMR002,#BDBDBD,#616161,1.5,Demoso,Highland,#333333,
MMR002003,Hpruso,MMR002,#BDBDBD,#616161,1.5,Hpruso,Highland,#333333,
MMR009024,Tilin,MMR009,#42A5F5,#1565C0,1.5,Tilin,Development Zone,#333333,
MMR009003,Chauk,MMR009,#42A5F5,#1565C0,1.5,Chauk,Development Zone,#333333,
MMR010003,Mahaaungmyay,MMR010,#42A5F5,#1565C0,1.5,Mahaaungmyay,Development Zone,#333333,
MMR010007,Patheingyi,MMR010,#42A5F5,#1565C0,1.5,Patheingyi,Development Zone,#333333,
MMR009001,Magway,MMR009,#42A5F5,#1565C0,1.5,Magway,Development Zone,#333333,
MMR009005,Myothit,MMR009,#42A5F5,#1565C0,1.5,Myothit,Development Zone,#333333,
MMR009002,Yenangyaung,MMR009,#42A5F5,#1565C0,1.5,Yenangyaung,Development Zone,#333333,
MMR009007,Minbu,MMR009,#42A5F5,#1565C0,1.5,Minbu,Development Zone,#333333,
MMR010023,Yamethin,MMR010,#42A5F5,#1565C0,1.5,Yamethin,Development Zone,#333333,
MMR009009,Ngape,MMR009,#42A5F5,#1565C0,1.5,Ngape,Development Zone,#333333,
MMR011002,Kyaikmaraw,MMR011,#66BB6A,#2E7D32,1.5,Kyaikmaraw,Coastal,#333333,
MMR011001,Mawlamyine,MMR011,#66BB6A,#2E7D32,1.5,Mawlamyine,Coastal,#333333,
MMR011005,Mudon,MMR011,#66BB6A,#2E7D32,1.5,Mudon,Coastal,#333333,
MMR011004,Thanbyuzayat,MMR011,#66BB6A,#2E7D32,1.5,Thanbyuzayat,Coastal,#333333,
MMR011006,Ye,MMR011,#66BB6A,#2E7D32,1.5,Ye,Coastal,#333333,
MMR009008,Pwintbyu,MMR009,#42A5F5,#1565C0,1.5,Pwintbyu,Development Zone,#333333,
MMR011010,Bilin,MMR011,#66BB6A,#2E7D32,1.5,Bilin,Coastal,#333333,
MMR009010,Salin,MMR009,#42A5F5,#1565C0,1.5,Salin,Development Zone,#333333,
MMR009011,Sidoktaya,MMR009,#42A5F5,#1565C0,1.5,Sidoktaya,Development Zone,#333333,
MMR009020,Myaing,MMR009,#42A5F5,#1565C0,1.5,Myaing,Development Zone,#333333,
MMR018003,Tatkon,MMR018,#42A5F5,#1565C0,1.5,Tatkon,Development Zone,#333333,
MMR018001,Zay Yar Thi Ri,MMR018,#42A5F5,#1565C0,1.5,Zay Yar Thi Ri,Development Zone,#333333,
MMR009018,Pakokku,MMR009,#42A5F5,#1565C0,1.5,Pakokku,Development Zone,#333333,
MMR012014,Ann,MMR012,#66BB6A,#2E7D32,1.5,Ann,Coastal,#333333,
MMR012011,Kyaukpyu,MMR012,#66BB6A,#2E7D32,1.5,Kyaukpyu,Coastal,#333333,
MMR012012,Munaung,MMR012,#66BB6A,#2E7D32,1.5,Munaung,Coastal,#333333,
MMR012013,Ramree,MMR012,#66BB6A,#2E7D32,1.5,Ramree,Coastal,#333333,
MMR012010,Buthidaung,MMR012,#66BB6A,#2E7D32,1.5,Buthidaung,Coastal,#333333,
MMR012009,Maungdaw,MMR012,#66BB6A,#2E7D32,1.5,Maungdaw,Coastal,#333333,
MMR012004,Kyauktaw,MMR012,#66BB6A,#2E7D32,1.5,Kyauktaw,Coastal,#333333,
MMR012005,Minbya,MMR012,#66BB6A,#2E7D32,1.5,Minbya,Coastal,#333333,
MMR012003,Mrauk-U,MMR012,#66BB6A,#2E7D32,1.5,Mrauk-U,Coastal,#333333,
MMR012006,Myebon,MMR012,#66BB6A,#2E7D32,1.5,Myebon,Coastal,#333333,
MMR012007,Pauktaw,MMR012,#66BB6A,#2E7D32,1.5,Pauktaw,Coastal,#333333,
MMR012002,Ponnagyun,MMR012,#66BB6A,#2E7D32,1.5,Ponnagyun,Coastal,#333333,
MMR012008,Rathedaung,MMR012,#66BB6A,#2E7D32,1.5,Rathedaung,Coastal,#333333,
MMR009021,Pauk,MMR009,#42A5F5,#1565C0,1.5,Pauk,Development Zone,#333333,
MMR009022,Seikphyu,MMR009,#42A5F5,#1565C0,1.5,Seikphyu,Development Zone,#333333,
MMR009019,Yesagyo,MMR009,#42A5F5,#1565C0,1.5,Yesagyo,Development Zone,#333333,
MMR009016,Aunglan,MMR009,#42A5F5,#1565C0,1.5,Aunglan,Development Zone,#333333,
MMR009015,Kamma,MMR009,#42A5F5,#1565C0,1.5,Kamma,Development Zone,#333333,
MMR009014,Mindon,MMR009,#42A5F5,#1565C0,1.5,Mindon,Development Zone,#333333,
MMR009013,Minhla,MMR009,#42A5F5,#1565C0,1.5,Minhla,Development Zone,#333333,
MMR009017,Sinbaungwe,MMR009,#42A5F5,#1565C0,1.5,Sinbaungwe,Development Zone,#333333,
MMR009012,Thayet,MMR009,#42A5F5,#1565C0,1.5,Thayet,Development Zone,#333333,
MMR010013,Kyaukse,MMR010,#42A5F5,#1565C0,1.5,Kyaukse,Development Zone,#333333,
MMR010015,Myittha,MMR010,#42A5F5,#1565C0,1.5,Myittha,Development Zone,#333333,
MMR010014,Sintgaing,MMR010,#42A5F5,#1565C0,1.5,Sintgaing,Development Zone,#333333,
MMR010016,Tada-U,MMR010,#42A5F5,#1565C0,1.5,Tada-U,Development Zone,#333333,
MMR010006,Amarapura,MMR010,#42A5F5,#1565C0,1.5,Amarapura,Development Zone,#333333,
MMR010005,Pyigyitagon,MMR010,#42A5F5,#1565C0,1.5,Pyigyitagon,Development Zone,#333333,
MMR005013,Budalin,MMR005,#26C6DA,#00838F,1.5,Budalin,Border Area,#333333,
MMR010029,Mahlaing,MMR010,#42A5F5,#1565C0,1.5,Mahlaing,Development Zone,#333333,
MMR016005,Mongla,MMR016,,,1.5,Mongla,,#333333,
MMR016007,Mongping,MMR016,,,1.5,Mongping,,#333333,
MMR016003,Mongyang,MMR016,,,1.5,Mongyang,,#333333,
MMR016006,Monghsat,MMR016,,,1.5,Monghsat,,#333333,
MMR016008,Mongton,MMR016,,,1.5,Mongton,,#333333,
MMR016010,Monghpyak,MMR016,,,1.5,Monghpyak,,#333333,
MMR016011,Mongyawng,MMR016,,,1.5,Mongyawng,,#333333,
MMR016009,Tachileik,MMR016,,,1.5,Tachileik,,#333333,
MMR015021,Hopang,MMR015,,,1.5,Hopang,,#333333,
MMR015008,Mongmao,MMR015,,,1.5,Mongmao,,#333333,
MMR010028,Meiktila,MMR010,#42A5F5,#1565C0,1.5,Meiktila,Development Zone,#333333,
MMR010030,Thazi,MMR010,#42A5F5,#1565C0,1.5,Thazi,Development Zone,#333333,
MMR010031,Wundwin,MMR010,#42A5F5,#1565C0,1.5,Wundwin,Development Zone,#333333,
MMR015004,Tangyan,MMR015,,,1.5,Tangyan,,#333333,
MMR015024,Matman,MMR015,,,1.5,Matman,,#333333,
MMR010017,Myingyan,MMR010,#42A5F5,#1565C0,1.5,Myingyan,Development Zone,#333333,
MMR010019,Natogyi,MMR010,#42A5F5,#1565C0,1.5,Natogyi,Development Zone,#333333,
MMR006008,Tanintharyi,MMR006,#66BB6A,#2E7D32,1.5,Tanintharyi,Coastal,#333333,
MMR010021,Ngazun,MMR010,#42A5F5,#1565C0,1.5,Ngazun,Development Zone,#333333,
MMR010018,Taungtha,MMR010,#42A5F5,#1565C0,1.5,Taungtha,Development Zone,#333333,
MMR010020,Kyaukpadaung,MMR010,#42A5F5,#1565C0,1.5,Kyaukpadaung,Development Zone,#333333,
MMR010022,Nyaung-U,MMR010,#42A5F5,#1565C0,1.5,Nyaung-U,Development Zone,#333333,
MMR010009,Madaya,MMR010,#42A5F5,#1565C0,1.5,Madaya,Development Zone,#333333,
MMR010011,Mogoke,MMR010,#42A5F5,#1565C0,1.5,Mogoke,Development Zone,#333333,
MMR010008,Pyinoolwin,MMR010,#42A5F5,#1565C0,1.5,Pyinoolwin,Development Zone,#333333,
MMR013017,Botahtaung,MMR013,#42A5F5,#1565C0,1.5,Botahtaung,Development Zone,#333333,
MMR013020,Dagon Myothit (East),MMR013,#42A5F5,#1565C0,1.5,Dagon Myothit (East),Development Zone,#333333,
MMR010010,Singu,MMR010,#42A5F5,#1565C0,1.5,Singu,Development Zone,#333333,
MMR010012,Thabeikkyin,MMR010,#42A5F5,#1565C0,1.5,Thabeikkyin,Development Zone,#333333,
MMR010024,Pyawbwe,MMR010,#42A5F5,#1565C0,1.5,Pyawbwe,Development Zone,#333333,
MMR011003,Chaungzon,MMR011,#66BB6A,#2E7D32,1.5,Chaungzon,Coastal,#333333,
MMR011009,Kyaikto,MMR011,#66BB6A,#2E7D32,1.5,Kyaikto,Coastal,#333333,
MMR011008,Paung,MMR011,#66BB6A,#2E7D32,1.5,Paung,Coastal,#333333,
MMR011007,Thaton,MMR011,#66BB6A,#2E7D32,1.5,Thaton,Coastal,#333333,
MMR018004,Det Khi Na Thi Ri,MMR018,#42A5F5,#1565C0,1.5,Det Khi Na Thi Ri,Development Zone,#333333,
MMR018007,Lewe,MMR018,#42A5F5,#1565C0,1.5,Lewe,Development Zone,#333333,
MMR018006,Pyinmana,MMR018,#42A5F5,#1565C0,1.5,Pyinmana,Development Zone,#333333,
MMR018002,Za Bu Thi Ri,MMR018,#42A5F5,#1565C0,1.5,Za Bu Thi Ri,Development Zone,#333333,
MMR018008,Oke Ta Ra Thi Ri,MMR018,#42A5F5,#1565C0,1.5,Oke Ta Ra Thi Ri,Development Zone,#333333,
MMR018005,Poke Ba Thi Ri,MMR018,#42A5F5,#1565C0,1.5,Poke Ba Thi Ri,Development Zone,#333333,
MMR012001,Sittwe,MMR012,#66BB6A,#2E7D32,1.5,Sittwe,Coastal,#333333,
MMR012017,Gwa,MMR012,#66BB6A,#2E7D32,1.5,Gwa,Coastal,#333333,
MMR012015,Thandwe,MMR012,#66BB6A,#2E7D32,1.5,Thandwe,Coastal,#333333,
MMR012016,Toungup,MMR012,#66BB6A,#2E7D32,1.5,Toungup,Coastal,#333333,
MMR005033,Hkamti,MMR005,#26C6DA,#00838F,1.5,Hkamti,Border Area,#333333,
MMR005034,Homalin,MMR005,#26C6DA,#00838F,1.5,Homalin,Border Area,#333333,
MMR005027,Kale,MMR005,#26C6DA,#00838F,1.5,Kale,Border Area,#333333,
MMR005028,Kalewa,MMR005,#26C6DA,#00838F,1.5,Kalewa,Border Area,#333333,
MMR005029,Mingin,MMR005,#26C6DA,#00838F,1.5,Mingin,Border Area,#333333,
MMR005007,Kanbalu,MMR005,#26C6DA,#00838F,1.5,Kanbalu,Border Area,#333333,
MMR005008,Kyunhla,MMR005,#26C6DA,#00838F,1.5,Kyunhla,Border Area,#333333,
MMR005023,Banmauk,MMR005,#26C6DA,#00838F,1.5,Banmauk,Border Area,#333333,
MMR005021,Indaw,MMR005,#26C6DA,#00838F,1.5,Indaw,Border Area,#333333,
MMR005020,Katha,MMR005,#26C6DA,#00838F,1.5,Katha,Border Area,#333333,
MMR005022,Tigyaing,MMR005,#26C6DA,#00838F,1.5,Tigyaing,Border Area,#333333,
MMR005024,Kawlin,MMR005,#26C6DA,#00838F,1.5,Kawlin,Border Area,#333333,
MMR005026,Pinlebu,MMR005,#26C6DA,#00838F,1.5,Pinlebu,Border Area,#333333,
MMR005025,Wuntho,MMR005,#26C6DA,#00838F,1.5,Wuntho,Border Area,#333333,
MMR005031,Mawlaik,MMR005,#26C6DA,#00838F,1.5,Mawlaik,Border Area,#333333,
