PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR013025,Thongwa,MMR013,#42A5F5,#1565C0,1.5,Thongwa,Development Zone,#333333,
MMR013027,Twantay,MMR013,#42A5F5,#1565C0,1.5,Twantay,Development Zone,#333333,
MMR013046,Hlaingtharya (East),MMR013,#42A5F5,#1565C0,1.5,Hlaingtharya (East),Development Zone,#333333,
MMR013047,Hlaingtharya (West),MMR013,#42A5F5,#1565C0,1.5,Hlaingtharya (West),Development Zone,#333333,
MMR013004,Hlegu,MMR013,#42A5F5,#1565C0,1.5,Hlegu,Development Zone,#333333,
MMR013003,Hmawbi,MMR013,#42A5F5,#1565C0,1.5,Hmawbi,Development Zone,#333333,
MMR013006,Htantabin,MMR013,#42A5F5,#1565C0,1.5,Htantabin,Development Zone,#333333,
MMR013001,Insein,MMR013,#42A5F5,#1565C0,1.5,Insein,Development Zone,#333333,
MMR013032,Cocokyun,MMR013,#42A5F5,#1565C0,1.5,Cocokyun,Development Zone,#333333,
MMR013037,Ahlone,MMR013,#42A5F5,#1565C0,1.5,Ahlone,Development Zone,#333333,
MMR013030,Dala,MMR013,#42A5F5,#1565C0,1.5,Dala,Development Zone,#333333,
MMR013028,Kawhmu,MMR013,#42A5F5,#1565C0,1.5,Kawhmu,Development Zone,#333333,
MMR013026,Kayan,MMR013,#42A5F5,#1565C0,1.5,Kayan,Development Zone,#333333,
MMR013033,Kyauktada,MMR013,#42A5F5,#1565C0,1.5,Kyauktada,Development Zone,#333333,
MMR013029,Kungyangon,MMR013,#42A5F5,#1565C0,1.5,Kungyangon,Development Zone,#333333,
MMR013024,Kyauktan,MMR013,#42A5F5,#1565C0,1.5,Kyauktan,Development Zone,#333333,
MMR013044,Bahan,MMR013,#42A5F5,#1565C0,1.5,Bahan,Development Zone,#333333,
MMR013043,Dagon,MMR013,#42A5F5,#1565C0,1.5,Dagon,Development Zone,#333333,
MMR013038,Kyeemyindaing,MMR013,#42A5F5,#1565C0,1.5,Kyeemyindaing,Development Zone,#333333,
MMR013040,Hlaing,MMR013,#42A5F5,#1565C0,1.5,Hlaing,Development Zone,#333333,
MMR013041,Kamaryut,MMR013,#42A5F5,#1565C0,1.5,Kamaryut,Development Zone,#333333,
MMR013039,Sanchaung,MMR013,#42A5F5,#1565C0,1.5,Sanchaung,Development Zone,#333333,
